name,position,element,team,opponent_team,price,condition,xTotPoints,total_points
Tariq Lamptey,DEF,131,Brighton & Hove Albion,Crystal Palace,4.4,1.0,3.42,0
Séamus Coleman,DEF,221,Everton,Arsenal,4.3,1.0,-0.0,0
Fabian Schär,DEF,415,Newcastle United,Leicester City,5.4,1.0,2.73,6
James Hill,DEF,68,Bournemouth,West Ham United,3.9,1.0,0.11,0
Nathan Patterson,DEF,234,Everton,Arsenal,4.4,1.0,0.41,0
Kieran Tierney,DEF,21,Arsenal,Everton,4.3,1.0,-0.0,0
Sugawara Yukinari,DEF,474,Southampton,Tottenham Hotspur,4.4,1.0,0.48,1
Jake O'Brien,DEF,582,Everton,Arsenal,4.6,1.0,0.12,0
Kosta Nedeljković,DEF,50,Aston Villa,Nottingham Forest,4.0,1.0,-0.0,0
Sepp van den Berg,DEF,338,Brentford,Chelsea,4.1,1.0,1.95,1
Jarrad Branthwaite,DEF,219,Everton,Arsenal,4.8,1.0,3.08,6
Ferdi Kadioglu,DEF,628,Brighton & Hove Albion,Crystal Palace,4.5,0.25,-0.0,0
Kyle Walker,DEF,363,Manchester City,Manchester United,5.2,1.0,0.76,0
Ricardo Barbosa Pereira,DEF,302,Leicester City,Newcastle United,4.2,0.0,-0.0,0
Rúben Gato Alves Dias,DEF,361,Manchester City,Manchester United,5.4,1.0,1.71,1
Ben Chilwell,DEF,160,Chelsea,Brentford,4.7,1.0,-0.0,0
Tyrick Mitchell,DEF,210,Crystal Palace,Brighton & Hove Albion,4.8,1.0,1.38,11
Armel Bella-Kotchap,DEF,456,Southampton,Tottenham Hotspur,3.9,1.0,-0.0,0
Lamare Bogarde,DEF,598,Aston Villa,Nottingham Forest,4.0,1.0,-0.0,0
Noussair Mazraoui,DEF,594,Manchester United,Manchester City,4.7,1.0,1.42,2
Ezri Konsa Ngoyo,DEF,44,Aston Villa,Nottingham Forest,4.4,1.0,1.9,1
Virgil van Dijk,DEF,339,Liverpool,Fulham,6.4,1.0,3.49,1
Juan Larios López,DEF,464,Southampton,Tottenham Hotspur,4.0,0.0,-0.0,0
Ethan Pinnock,DEF,104,Brentford,Chelsea,4.5,1.0,2.99,1
William Saliba,DEF,18,Arsenal,Everton,6.2,1.0,6.13,6
Chris Richards,DEF,194,Crystal Palace,Brighton & Hove Albion,4.4,1.0,0.33,0
Rayan Aït-Nouri,DEF,533,Wolverhampton Wanderers,Ipswich Town,4.9,1.0,2.05,-2
James Justin,DEF,295,Leicester City,Newcastle United,4.4,1.0,0.67,0
Michael Keane,DEF,228,Everton,Arsenal,4.1,1.0,0.08,0
Diego Carlos Santos Silva,DEF,35,Aston Villa,Nottingham Forest,4.5,1.0,0.85,1
Trent Alexander-Arnold,DEF,311,Liverpool,Fulham,7.0,1.0,3.74,1
Riccardo Calafiori,DEF,578,Arsenal,Everton,5.8,0.25,0.57,0
Jan Bednarek,DEF,455,Southampton,Tottenham Hotspur,4.0,1.0,0.07,0
Wesley Fofana,DEF,189,Chelsea,Brentford,4.4,0.0,0.7,0
Lucas Digne,DEF,36,Aston Villa,Nottingham Forest,4.7,1.0,1.1,2
Matthijs de Ligt,DEF,593,Manchester United,Manchester City,5.0,1.0,2.05,2
Kim Ji-soo,DEF,96,Brentford,Chelsea,3.9,1.0,-0.0,0
Nathaniel Clyne,DEF,196,Crystal Palace,Brighton & Hove Albion,4.3,1.0,0.52,1
Tyrell Malacia,DEF,379,Manchester United,Manchester City,4.4,1.0,-0.0,0
Lewis Dunk,DEF,120,Brighton & Hove Albion,Crystal Palace,4.4,1.0,0.62,0
Ibrahima Konaté,DEF,326,Liverpool,Fulham,5.2,0.0,1.05,0
Chadi Riad Dnanou,DEF,195,Crystal Palace,Brighton & Hove Albion,4.3,0.75,-0.0,0
Levi Colwill,DEF,162,Chelsea,Brentford,4.5,1.0,1.67,2
Joe Gomez,DEF,322,Liverpool,Fulham,4.9,1.0,1.08,1
Yerson Mosquera,DEF,558,Wolverhampton Wanderers,Ipswich Town,3.9,0.0,-0.0,0
Sil Swinkels,DEF,640,Aston Villa,Nottingham Forest,4.0,1.0,-0.0,0
Konstantinos Tsimikas,DEF,337,Liverpool,Fulham,4.6,0.25,0.37,0
Gabriel dos Santos Magalhães,DEF,3,Arsenal,Everton,6.2,0.75,3.1,9
Manuel Akanji,DEF,340,Manchester City,Manchester United,5.3,0.25,0.03,0
Matt Doherty,DEF,543,Wolverhampton Wanderers,Ipswich Town,4.3,1.0,1.19,0
Conor Bradley,DEF,313,Liverpool,Fulham,4.7,0.0,0.9,0
Jarell Quansah,DEF,333,Liverpool,Fulham,3.9,1.0,0.23,1
Andrew Robertson,DEF,335,Liverpool,Fulham,5.9,1.0,2.72,-3
Oleksandr Zinchenko,DEF,25,Arsenal,Everton,4.8,0.25,1.76,0
Diogo Dalot Teixeira,DEF,369,Manchester United,Manchester City,5.2,1.0,0.86,2
Nathan Aké,DEF,341,Manchester City,Manchester United,5.3,0.0,1.1,0
Jamaal Lascelles,DEF,407,Newcastle United,Leicester City,4.5,0.0,-0.0,0
Axel Disasi,DEF,167,Chelsea,Brentford,4.2,1.0,2.6,0
Victor Kristiansen,DEF,296,Leicester City,Newcastle United,4.5,1.0,1.0,0
Kyle Walker-Peters,DEF,476,Southampton,Tottenham Hotspur,4.4,1.0,1.0,0
Antonee Robinson,DEF,255,Fulham,Liverpool,4.7,1.0,2.91,6
Illia Zabarnyi,DEF,85,Bournemouth,West Ham United,4.4,1.0,2.26,2
Sven Botman,DEF,393,Newcastle United,Leicester City,4.4,0.0,-0.0,0
Ronnie Edwards,DEF,460,Southampton,Tottenham Hotspur,3.9,1.0,0.16,0
Ben Mee,DEF,100,Brentford,Chelsea,4.2,1.0,0.23,0
Wout Faes,DEF,291,Leicester City,Newcastle United,4.1,1.0,0.69,0
Leny Yoro,DEF,572,Manchester United,Manchester City,4.3,1.0,0.16,1
Ian Maatsen,DEF,45,Aston Villa,Nottingham Forest,4.6,1.0,0.34,1
Mads Roerslev Rasmussen,DEF,105,Brentford,Chelsea,4.3,1.0,0.65,2
Jurriën Timber,DEF,6,Arsenal,Everton,5.7,1.0,1.19,6
Ayden Heaven,DEF,658,Arsenal,Everton,4.0,1.0,-0.0,0
Marc Cucurella Saseta,DEF,163,Chelsea,Brentford,5.1,1.0,3.65,5
Toti António Gomes,DEF,567,Wolverhampton Wanderers,Ipswich Town,4.3,1.0,2.18,1
Dan Burn,DEF,395,Newcastle United,Leicester City,4.4,1.0,1.73,6
Pervis Estupiñán,DEF,122,Brighton & Hove Albion,Crystal Palace,5.1,1.0,4.0,1
Luke Shaw,DEF,387,Manchester United,Manchester City,4.9,0.0,0.44,0
Aaron Hickey,DEF,93,Brentford,Chelsea,4.3,0.0,-0.0,0
Maxence Lacroix,DEF,650,Crystal Palace,Brighton & Hove Albion,4.5,1.0,2.01,2
Caleb Okoli,DEF,301,Leicester City,Newcastle United,4.0,1.0,0.16,0
Reece James,DEF,172,Chelsea,Brentford,4.8,0.0,-0.0,0
Santiago Bueno,DEF,564,Wolverhampton Wanderers,Ipswich Town,4.3,1.0,0.86,1
Kenny Tete,DEF,257,Fulham,Liverpool,4.5,1.0,2.93,1
Kortney Hause,DEF,40,Aston Villa,Nottingham Forest,4.0,1.0,-0.0,0
Bastien Meupiyou,DEF,637,Wolverhampton Wanderers,Ipswich Town,4.0,1.0,-0.0,0
Tino Livramento,DEF,409,Newcastle United,Leicester City,4.5,1.0,1.25,6
Daniel Muñoz,DEF,211,Crystal Palace,Brighton & Hove Albion,4.7,1.0,1.75,1
Charlie Taylor,DEF,475,Southampton,Tottenham Hotspur,3.9,1.0,0.17,0
Matty Cash,DEF,32,Aston Villa,Nottingham Forest,4.4,1.0,1.16,1
Issa Diop,DEF,245,Fulham,Liverpool,4.4,1.0,1.36,0
Igor Julio dos Santos de Paulo,DEF,128,Brighton & Hove Albion,Crystal Palace,4.4,1.0,1.51,0
Pedro Cardoso de Lima,DEF,561,Wolverhampton Wanderers,Ipswich Town,4.0,1.0,-0.0,0
Nathan Collins,DEF,88,Brentford,Chelsea,4.5,1.0,3.07,1
Marc Guéhi,DEF,200,Crystal Palace,Brighton & Hove Albion,4.5,1.0,2.15,-1
Kieran Trippier,DEF,418,Newcastle United,Leicester City,5.6,1.0,0.51,1
John Stones,DEF,362,Manchester City,Manchester United,5.3,0.25,-0.0,0
Jayden Meghoma,DEF,649,Brentford,Chelsea,4.0,1.0,-0.0,1
Lewis Hall,DEF,399,Newcastle United,Leicester City,4.5,1.0,1.01,15
Calvin Bassey,DEF,241,Fulham,Liverpool,4.5,0.0,1.78,0
Tosin Adarabioyo,DEF,187,Chelsea,Brentford,4.2,1.0,0.37,2
Matt Targett,DEF,416,Newcastle United,Leicester City,4.0,1.0,-0.0,0
Jan Paul van Hecke,DEF,144,Brighton & Hove Albion,Crystal Palace,4.5,1.0,1.35,1
Jorge Cuenca Barreno,DEF,586,Fulham,Liverpool,4.4,1.0,0.03,1
Rico Lewis,DEF,355,Manchester City,Manchester United,4.6,0.0,0.63,0
Julián Araujo Zúñiga,DEF,592,Bournemouth,West Ham United,4.3,0.0,0.06,0
James Tarkowski,DEF,236,Everton,Arsenal,4.8,1.0,4.75,6
Joël Veltman,DEF,145,Brighton & Hove Albion,Crystal Palace,4.5,0.5,0.61,0
Tyrone Mings,DEF,49,Aston Villa,Nottingham Forest,4.4,1.0,0.25,0
Malo Gusto,DEF,171,Chelsea,Brentford,4.9,1.0,2.12,2
Lloyd Kelly,DEF,404,Newcastle United,Leicester City,4.3,1.0,0.03,0
Dean Huijsen,DEF,580,Bournemouth,West Ham United,4.3,1.0,3.02,2
Max Aarons,DEF,59,Bournemouth,West Ham United,4.3,1.0,0.15,0
Nathan Wood-Gordon,DEF,477,Southampton,Tottenham Hotspur,4.0,1.0,0.11,1
Benjamin White,DEF,24,Arsenal,Everton,6.1,0.0,0.15,0
Harry Maguire,DEF,377,Manchester United,Manchester City,4.9,1.0,0.37,2
Victor Lindelöf,DEF,376,Manchester United,Manchester City,4.3,1.0,-0.0,1
Maldini Kacurri,DEF,657,Arsenal,Everton,4.0,1.0,-0.0,0
Emil Krafth,DEF,405,Newcastle United,Leicester City,4.3,0.0,-0.0,0
Jakub Kiwior,DEF,8,Arsenal,Everton,4.8,1.0,1.37,0
Kristoffer Ajer,DEF,86,Brentford,Chelsea,4.4,1.0,-0.0,1
Ashley Young,DEF,238,Everton,Arsenal,4.6,1.0,3.22,5
James Bree,DEF,457,Southampton,Tottenham Hotspur,3.9,1.0,0.12,0
Alex Scott,MID,77,Bournemouth,West Ham United,4.7,0.0,0.0,0
Ben Brereton Díaz,MID,584,Southampton,Tottenham Hotspur,4.9,1.0,0.28,0
Hwang Hee-chan,MID,550,Wolverhampton Wanderers,Ipswich Town,6.1,1.0,0.31,1
João Victor Gomes da Silva,MID,553,Wolverhampton Wanderers,Ipswich Town,4.9,0.0,1.99,0
Cole Palmer,MID,182,Chelsea,Brentford,11.1,1.0,7.54,3
Mitoma Kaoru,MID,136,Brighton & Hove Albion,Crystal Palace,6.6,1.0,4.71,2
Boubakary Soumaré,MID,285,Leicester City,Newcastle United,4.4,0.0,1.46,0
Jeffrey Schlupp,MID,214,Crystal Palace,Brighton & Hove Albion,4.7,1.0,0.62,0
Thomas Partey,MID,20,Arsenal,Everton,5.0,1.0,2.68,1
Harry Wilson,MID,259,Fulham,Liverpool,5.2,1.0,1.67,2
Kasey McAteer,MID,299,Leicester City,Newcastle United,4.7,1.0,1.24,2
Gustavo Nunes Fernandes Gomes,MID,634,Brentford,Chelsea,4.9,0.0,0.0,0
Yunus Emre Konak,MID,97,Brentford,Chelsea,4.5,1.0,0.06,0
Sávio 'Savinho' Moreira de Oliveira,MID,571,Manchester City,Manchester United,6.5,1.0,1.49,1
Philip Billing,MID,76,Bournemouth,West Ham United,4.8,1.0,0.54,1
Gonçalo Manuel Ganchinho Guedes,MID,548,Wolverhampton Wanderers,Ipswich Town,5.3,1.0,1.52,4
Brajan Gruda,MID,595,Brighton & Hove Albion,Crystal Palace,5.4,1.0,0.26,1
Rodrigo 'Rodri' Hernandez,MID,360,Manchester City,Manchester United,6.3,0.0,0.0,0
Justin Devenny,MID,645,Crystal Palace,Brighton & Hove Albion,4.5,1.0,1.61,1
Jordan Ayew,MID,192,Leicester City,Newcastle United,5.2,1.0,2.39,0
Kiernan Dewsbury-Hall,MID,166,Chelsea,Brentford,5.6,1.0,0.45,0
Maxwel Cornet,MID,515,Southampton,Tottenham Hotspur,4.7,1.0,0.0,0
Jefferson Lerma Solís,MID,206,Crystal Palace,Brighton & Hove Albion,4.8,1.0,1.55,2
Bruno Borges Fernandes,MID,366,Manchester United,Manchester City,8.4,1.0,6.73,9
Oliver Skipp,MID,501,Leicester City,Newcastle United,4.8,1.0,0.6,1
Moisés Caicedo Corozo,MID,157,Chelsea,Brentford,4.9,1.0,2.2,2
Carlos Henrique Casimiro,MID,368,Manchester United,Manchester City,4.8,1.0,1.13,0
Jacob Murphy,MID,402,Newcastle United,Leicester City,4.9,1.0,1.64,13
Sean Longstaff,MID,410,Newcastle United,Leicester City,4.7,1.0,1.62,1
Ryan Christie,MID,63,Bournemouth,West Ham United,4.9,1.0,1.3,3
Noni Madueke,MID,177,Chelsea,Brentford,6.3,1.0,2.59,6
Tommy Doyle,MID,544,Wolverhampton Wanderers,Ipswich Town,4.8,1.0,0.55,1
Lesley Ugochukwu,MID,188,Southampton,Tottenham Hotspur,4.5,1.0,0.12,0
Christian Eriksen,MID,370,Manchester United,Manchester City,5.3,1.0,0.52,0
Jean-Ricner Bellegarde,MID,535,Wolverhampton Wanderers,Ipswich Town,5.0,1.0,1.0,2
Mateo Kovačić,MID,354,Manchester City,Manchester United,5.4,1.0,0.24,1
Phil Foden,MID,348,Manchester City,Manchester United,9.1,1.0,0.92,2
Mason Mount,MID,382,Manchester United,Manchester City,6.3,1.0,0.79,1
Gabriel Martinelli Silva,MID,9,Arsenal,Everton,6.7,1.0,1.23,3
Yasin Ayari,MID,600,Brighton & Hove Albion,Crystal Palace,5.0,1.0,0.93,2
Mikel Merino,MID,633,Arsenal,Everton,6.0,1.0,1.02,3
Facundo Buonanotte,MID,117,Leicester City,Newcastle United,5.0,1.0,1.85,1
Ethan Brierley,MID,87,Brentford,Chelsea,4.5,1.0,0.0,0
Ismaïla Sarr,MID,585,Crystal Palace,Brighton & Hove Albion,5.7,1.0,2.68,17
Josh Dasilva,MID,90,Brentford,Chelsea,4.8,0.0,0.0,0
Jadon Sancho,MID,386,Chelsea,Brentford,6.2,1.0,2.68,2
Leandro Trossard,MID,23,Arsenal,Everton,6.8,1.0,4.6,1
Miguel Almirón Rejala,MID,391,Newcastle United,Leicester City,5.5,1.0,0.24,0
Marcus Tavernier,MID,83,Bournemouth,West Ham United,5.5,0.0,1.87,0
Omari Kellyman,MID,173,Chelsea,Brentford,4.4,0.0,0.0,0
Martial Godo,MID,605,Fulham,Liverpool,4.5,1.0,0.0,0
Harrison Reed,MID,254,Fulham,Liverpool,4.7,0.0,0.07,0
Will Alves,MID,606,Leicester City,Newcastle United,4.5,1.0,0.0,0
Carlos Baleba,MID,115,Brighton & Hove Albion,Crystal Palace,5.0,1.0,1.08,2
Ryan Fraser,MID,397,Southampton,Tottenham Hotspur,4.8,1.0,0.98,0
Mathias Jensen,MID,95,Brentford,Chelsea,5.3,0.0,1.2,0
Dango Ouattara,MID,74,Bournemouth,West Ham United,5.0,1.0,1.75,2
Yehor Yarmoliuk,MID,111,Brentford,Chelsea,4.4,1.0,1.18,2
Tyler Dibling,MID,608,Southampton,Tottenham Hotspur,4.5,1.0,1.16,2
Bobby De Cordova-Reid,MID,290,Leicester City,Newcastle United,5.2,1.0,3.45,1
Manuel Ugarte,MID,652,Manchester United,Manchester City,4.9,1.0,1.25,2
Matheus Luiz Nunes,MID,356,Manchester City,Manchester United,4.9,1.0,1.76,2
Cameron Peupion,MID,140,Brighton & Hove Albion,Crystal Palace,4.4,1.0,0.0,0
Mats Wieffer,MID,149,Brighton & Hove Albion,Crystal Palace,4.7,1.0,1.08,1
Garang Kuol,MID,406,Newcastle United,Leicester City,4.4,1.0,0.0,0
Nico O'Reilly,MID,607,Manchester City,Manchester United,4.9,1.0,0.0,0
Kaden Rodney,MID,647,Crystal Palace,Brighton & Hove Albion,4.5,1.0,0.0,0
Rodrigo Martins Gomes,MID,563,Wolverhampton Wanderers,Ipswich Town,5.2,1.0,1.07,0
Bilal El Khannouss,MID,635,Leicester City,Newcastle United,4.8,1.0,1.76,2
Toby Collyer,MID,613,Manchester United,Manchester City,4.5,1.0,0.0,0
Asher Agbinone,MID,646,Crystal Palace,Brighton & Hove Albion,4.5,1.0,0.06,0
Kadan Young,MID,656,Aston Villa,Nottingham Forest,4.5,1.0,0.0,0
Martin Ødegaard,MID,13,Arsenal,Everton,8.3,1.0,5.76,3
Cesare Casadei,MID,158,Chelsea,Brentford,4.4,1.0,0.0,0
Jaden Philogene,MID,569,Aston Villa,Nottingham Forest,5.3,1.0,1.0,0
Mario Lemina,MID,557,Wolverhampton Wanderers,Ipswich Town,5.0,1.0,1.99,2
Adam Wharton,MID,216,Crystal Palace,Brighton & Hove Albion,4.7,0.0,0.0,0
Luis Sinisterra,MID,80,Bournemouth,West Ham United,4.9,0.0,0.0,0
Stephy Mavididi,MID,298,Leicester City,Newcastle United,5.2,1.0,0.34,1
Anthony Gordon,MID,398,Newcastle United,Leicester City,7.2,1.0,3.37,6
Josh King,MID,604,Fulham,Liverpool,4.5,1.0,0.06,0
Matt O'Riley,MID,629,Brighton & Hove Albion,Crystal Palace,5.5,1.0,1.62,0
Luke Cundle,MID,540,Wolverhampton Wanderers,Ipswich Town,4.5,1.0,0.0,0
Bukayo Saka,MID,17,Arsenal,Everton,10.6,1.0,7.86,3
Hamza Choudhury,MID,287,Leicester City,Newcastle United,4.3,1.0,0.0,1
Joe Aribo,MID,452,Southampton,Tottenham Hotspur,4.9,1.0,1.68,2
Jack Hinshelwood,MID,126,Brighton & Hove Albion,Crystal Palace,5.0,0.5,0.1,0
Antoine Semenyo,MID,78,Bournemouth,West Ham United,5.7,1.0,1.4,3
Franco Umeh-Chibueze,MID,644,Crystal Palace,Brighton & Hove Albion,4.4,0.25,0.0,0
Saša Lukić,MID,249,Fulham,Liverpool,4.8,1.0,0.8,2
Kevin De Bruyne,MID,345,Manchester City,Manchester United,9.5,1.0,2.93,6
Antony Matheus dos Santos,MID,365,Manchester United,Manchester City,5.7,1.0,0.3,1
Jorge Luiz Frello Filho,MID,7,Arsenal,Everton,4.7,1.0,0.98,1
Christian Nørgaard,MID,101,Brentford,Chelsea,4.8,1.0,1.07,2
Declan Rice,MID,16,Arsenal,Everton,6.2,1.0,2.26,3
Salah-Eddine Oulad M'hand,MID,638,Arsenal,Everton,4.5,1.0,0.0,0
Vitaly Janelt,MID,94,Brentford,Chelsea,4.9,0.75,2.28,0
Adama Traoré,MID,239,Fulham,Liverpool,4.8,1.0,0.2,1
Keane Lewis-Potter,MID,98,Brentford,Chelsea,5.0,1.0,1.28,2
Michael Golding,MID,292,Leicester City,Newcastle United,4.4,1.0,0.0,0
João Félix Sequeira,MID,621,Chelsea,Brentford,6.0,1.0,1.22,0
Emile Smith Rowe,MID,19,Fulham,Liverpool,5.5,1.0,1.12,1
Enso González,MID,547,Wolverhampton Wanderers,Ipswich Town,4.4,0.0,0.0,0
Christopher Nkunku,MID,181,Chelsea,Brentford,5.8,1.0,2.19,1
Joe Willock,MID,420,Newcastle United,Leicester City,4.8,0.5,0.81,1
Lewis Cook,MID,64,Bournemouth,West Ham United,5.0,1.0,1.46,2
Alex Iwobi,MID,247,Fulham,Liverpool,5.7,1.0,1.84,2
Ethan Nwaneri,MID,12,Arsenal,Everton,4.5,1.0,1.11,1
Ilkay Gündogan,MID,625,Manchester City,Manchester United,6.5,1.0,1.96,2
Isaac Hayden,MID,400,Newcastle United,Leicester City,4.4,1.0,0.0,0
Tom Cairney,MID,243,Fulham,Liverpool,4.8,0.0,0.84,0
Jacob Ramsey,MID,53,Aston Villa,Nottingham Forest,5.4,0.0,0.0,0
Emiliano Buendía Stati,MID,31,Aston Villa,Nottingham Forest,5.2,1.0,0.38,0
James McAtee,MID,357,Manchester City,Manchester United,4.6,1.0,0.19,0
Youri Tielemans,MID,57,Aston Villa,Nottingham Forest,5.5,1.0,1.38,3
Yankuba Minteh,MID,135,Brighton & Hove Albion,Crystal Palace,5.1,1.0,1.2,2
Ismeal Kabia,MID,659,Arsenal,Everton,4.5,1.0,0.0,0
Kevin Schade,MID,106,Brentford,Chelsea,5.1,1.0,3.92,3
Samuel Amo-Ameyaw,MID,451,Southampton,Tottenham Hotspur,4.4,1.0,0.0,0
Justin Kluivert,MID,71,Bournemouth,West Ham United,5.5,1.0,3.51,3
Flynn Downes,MID,518,Southampton,Tottenham Hotspur,4.8,1.0,1.35,2
Alejandro Garnacho,MID,372,Manchester United,Manchester City,6.2,1.0,2.41,0
Jack Grealish,MID,349,Manchester City,Manchester United,6.4,1.0,1.29,1
Simon Adingra,MID,113,Brighton & Hove Albion,Crystal Palace,5.2,1.0,0.74,1
Carney Chukwuemeka,MID,161,Chelsea,Brentford,4.8,1.0,0.0,0
Pedro Lomba Neto,MID,560,Chelsea,Brentford,6.2,0.0,1.59,0
Harry Winks,MID,309,Leicester City,Newcastle United,4.5,0.5,0.4,0
Julio Enciso,MID,121,Brighton & Hove Albion,Crystal Palace,5.4,1.0,0.0,1
Boubacar Traoré,MID,534,Wolverhampton Wanderers,Ipswich Town,4.8,0.0,0.0,0
Mikkel Damsgaard,MID,89,Brentford,Chelsea,5.0,1.0,3.27,2
James Milner,MID,134,Brighton & Hove Albion,Crystal Palace,5.0,0.25,0.0,0
Ryan Trevitt,MID,602,Brentford,Chelsea,4.5,1.0,0.0,0
Enzo Fernández,MID,168,Chelsea,Brentford,5.0,1.0,5.69,5
Fábio Freitas Gouveia Carvalho,MID,314,Brentford,Chelsea,4.7,1.0,0.35,1
Jérémy Doku,MID,346,Manchester City,Manchester United,6.2,1.0,2.07,3
Cheick Doucouré,MID,193,Crystal Palace,Brighton & Hove Albion,4.9,1.0,0.48,1
Wilfred Ndidi,MID,300,Leicester City,Newcastle United,5.0,0.0,1.32,0
Daichi Kamada,MID,205,Crystal Palace,Brighton & Hove Albion,5.1,1.0,-0.07,1
Georginio Rutter,MID,618,Brighton & Hove Albion,Crystal Palace,5.6,1.0,2.04,2
Pablo Sarabia,MID,565,Wolverhampton Wanderers,Ipswich Town,5.1,0.0,1.04,0
Tyler Adams,MID,60,Bournemouth,West Ham United,4.9,1.0,1.46,1
Marcus Rashford,MID,385,Manchester United,Manchester City,6.9,1.0,6.48,0
Bruno Guimarães Rodriguez Moura,MID,394,Newcastle United,Leicester City,6.1,1.0,3.27,7
Bryan Mbeumo,MID,99,Brentford,Chelsea,7.6,1.0,5.89,9
Adam Lallana,MID,463,Southampton,Tottenham Hotspur,5.0,1.0,0.07,0
Sandro Tonali,MID,417,Newcastle United,Leicester City,5.5,1.0,1.4,3
Joelinton Cássio Apolinário de Lira,MID,403,Newcastle United,Leicester City,6.0,1.0,2.74,2
John McGinn,MID,48,Aston Villa,Nottingham Forest,5.2,1.0,2.17,6
Oscar Bobb,MID,343,Manchester City,Manchester United,4.7,0.0,0.0,0
Bernardo Veiga de Carvalho e Silva,MID,342,Manchester City,Manchester United,6.3,1.0,3.89,2
David Brooks,MID,62,Bournemouth,West Ham United,4.9,1.0,2.04,1
Solly March,MID,132,Brighton & Hove Albion,Crystal Palace,6.5,0.75,0.0,0
Matheus França de Oliveira,MID,208,Crystal Palace,Brighton & Hove Albion,4.4,0.0,0.0,0
Andreas Hoelgebaum Pereira,MID,240,Fulham,Liverpool,5.0,1.0,0.98,6
Amadou Onana,MID,233,Aston Villa,Nottingham Forest,4.9,1.0,0.18,1
Morgan Rogers,MID,54,Aston Villa,Nottingham Forest,5.4,1.0,1.97,2
Reiss Nelson,MID,10,Fulham,Liverpool,5.0,0.0,1.09,0
Kamaldeen Sulemana,MID,462,Southampton,Tottenham Hotspur,5.0,1.0,0.35,1
Amad Diallo,MID,364,Manchester United,Manchester City,5.1,1.0,5.91,13
Mateus Gonçalo Espanha Fernandes,MID,623,Southampton,Tottenham Hotspur,5.0,1.0,2.4,1
Carlos Roberto Forbs Borges,MID,655,Wolverhampton Wanderers,Ipswich Town,5.5,1.0,0.08,0
André Trindade da Costa Neto,MID,642,Wolverhampton Wanderers,Ipswich Town,5.0,1.0,1.37,1
Lewis Miley,MID,411,Newcastle United,Leicester City,5.0,1.0,0.0,0
Abdul Fatawu,MID,570,Leicester City,Newcastle United,5.2,0.0,0.08,0
Roméo Lavia,MID,174,Chelsea,Brentford,4.5,1.0,0.89,0
Leon Bailey,MID,28,Aston Villa,Nottingham Forest,6.2,0.25,1.32,0
Harvey Barnes,MID,392,Newcastle United,Leicester City,6.2,1.0,2.36,1
Will Smallbone,MID,471,Southampton,Tottenham Hotspur,5.0,0.0,0.0,0
Mykhailo Mudryk,MID,179,Chelsea,Brentford,6.2,0.5,0.0,0
Renato Palma Veiga,MID,184,Chelsea,Brentford,4.5,1.0,0.05,0
